,advice_mgmt_text,approves_ceo,cons_text,employee position,employee_location,employee_status,employee_years_at_company,number_helpful_votes,overall_rating,positive_outlook,pros_text,ratings_career_oportinity,ratings_comp_benefits,ratings_culture_values,ratings_senior_management,ratings_work_life_balance,review date,review_title
383,,1.0,You might feel like second class citizen if you are not SWE, Data Scientist,"Menlo Park, CA (US)",Current Employee ,M,4,4.0,0.0,"All tge benefits, very smart people, great problems to work on, infinite amount of data",4.0,4.0,4.0,4.0,3.0, 16 Feb 2018,"""Great place to work"""
384,,1.0,Can't think of any... it's a very healthy company to be at., Project Manager,"Menlo Park, CA (US)",Current Employee ,M,4,5.0,1.0,-They care about their employees-They truly make it a fun and worry-free place for us. ( amenities are amazing)-The work is very satisfying-The people here truly care about the mission,5.0,5.0,5.0,5.0,5.0, 29 Jan 2018,"""Best Company to work for"""
385,not mentioned,1.0,htm phpsqlall web services database, Anonymous Employee,"San Francisco, CA (US)",Current Employee ,not mentioned,0,3.0,1.0,enjoyful environment24*7 supportsalary and convence,5.0,3.0,4.0,3.0,4.0, 26 Feb 2018,"""this is a good company"""
386,,1.0,Too much work pressure and no work life balance for recruiters, Technical Recruiter,"Menlo Park, CA (US)",Current Employee ,M,5,4.0,1.0,Depending on the level the salary changes.,5.0,4.0,5.0,5.0,3.0, 10 Feb 2018,"""Recruiter salary at Facebook"""
387,not mentioned,,"Work/ Life balance is very challenging. When your boss pings you, they expect you to respond within few seconds; managers would put you on the spot all the time in order to drive you. Things changed very fast with many re-orgs. The whole working environment is very competitive, not much personal level connection w/ colleagues. Top priority is to get things done fast, morality is low.", Anonymous Employee,"Menlo Park, CA (US)",Former Employee ,L,9,2.0,,"Flexible hours. Healthy food, dynamic/ energetic environment. Working with top-notch engineers/ analysts in the world.",3.0,5.0,2.0,4.0,1.0, 12 Feb 2018,"""Nothing more important than moving fast"""
388,not mentioned,1.0,"Team effectiveness is highly dependent on the managers, some politics (to be expected from an organization of this size)", Sales Operations Manager,"Menlo Park, CA (US)",Current Employee ,M,0,5.0,1.0,"Lots of high-impact work, great management visibility, flexible working hours, great culture",5.0,5.0,5.0,5.0,5.0, 8 Feb 2018,"""Very rewarding"""
389,not mentioned,1.0,Very faced pace causes some people to burnout, Product Manager,"Menlo Park, CA (US)",Current Employee ,M,1,5.0,1.0,Amazing culture and high impact environment.,5.0,5.0,5.0,5.0,5.0, 2 Feb 2018,"""Help to change the world!"""
390,,1.0,"In the high school arena there's always going to be tuff decision a student will have to make for instance hanging out with the wrong or right crowd, participating in drug use, drinking at parties, cutting class and my job when they approach and share these stories is to guide them them in the right direction even if it's not the popular choice among their peers.", Securitas Security Guard,"Menlo Park, CA (US)",Current Employee ,M,0,5.0,1.0,"I love to experience the growth of students and watches their thoughts turn into passions. My job is so fulfilling I work with high school students I know since they were in 6th grade. I counsel, I encourage, I listen and guide their education through out high school.",5.0,5.0,5.0,5.0,4.0, 5 Feb 2018,"""Campus Supervisor & Community Liason"""
391,not mentioned,,very liberal and entitlement driven culture, Principal RF Engineer,"Menlo Park, CA (US)",Former Employee ,M,1,4.0,,very good compensation and overall benefits,5.0,5.0,3.0,4.0,4.0, 15 Feb 2018,"""n/a"""
392,,1.0,Nothing to complain about. I’ve worked in a lot of industries and this company is absolutely amazing. I can’t think of any cons!, Learning and Development Manager,"Austin, TX (US)",Current Employee ,M,3,5.0,1.0,- culture of collaboration- great perks and benefits- lots of growth opportunities- opportunity to travel- they truly care about their employees- they have employee clubs,5.0,5.0,5.0,5.0,4.0, 24 Jan 2018,"""I LOVE this company!"""
393,,1.0,"The work life balance can be a challenge, but overall Facebook really does care about trying to make this better.", Engineering Training Specialist,"Menlo Park, CA (US)",Current Employee ,M,0,5.0,1.0,Facebook really respects its employees and is very interested in diversity and that everyone is treated and compensated fairly. Zuck is a great leader,5.0,5.0,5.0,5.0,5.0, 3 Feb 2018,"""Engineering training specialist"""
394,,1.0,"Fast pace means inefficiencies happen a lotYou can feel a little lost and small sometimes when you work with so many high-achieving people in every meetingScale is so fast it is intimidating, and unpredictable how culture might change", Content Strategist,"Menlo Park, CA (US)",Current Employee ,L,2,5.0,1.0,"Smart, driven management and leadership across the boardZuck's Q&As make me feel very luckyThe work is interesting and fast movingYou work with brilliant people from all over the worldThe campus perks are incomparable",5.0,5.0,5.0,5.0,4.0, 26 Jan 2018,"""Best job I've ever had"""
395,not mentioned,1.0,"Although I love the fast-paced environment, some people might suffer from imposter syndrome. Work-life balance might be an issue for some people.", Software Engineer,"Menlo Park, CA (US)",Current Employee ,M,0,5.0,1.0,"As a company, Facebook cares about their employees. I feel excited about heading in to work each morning!Opportunities for learning and growth, flexibility to work on projects you're passionate about, Smart Peers, Superb benefits, wonderful campus, Gender equity!",5.0,5.0,5.0,5.0,4.0, 1 Feb 2018,"""The Best Company I've worked so far"""
396,,1.0,"haven't found one yet, haven't found one yet", Anonymous Employee,"Menlo Park, CA (US)",Current Employee ,L,0,5.0,1.0,"Free food, lots of food, food is good",,,,,, 31 Jan 2018,"""Not yet started"""
397,not mentioned,1.0,"- High expectations, hard work, tough if not located in MPK", Recruiter,"San Francisco, CA (US)",Current Employee ,M,0,5.0,1.0,"Great management, good benefits, good work/life balance",5.0,5.0,5.0,,5.0, 29 Jan 2018,"""Recruiter"""
398,not mentioned,1.0,"- Opportunities to pursue more technical lines of work (building ML models, creating data infra, etc.) are limited by the characteristics of the team you're placed on- A lot of questions/direction coming from upper level management that halts the process of the work you may be more interested in doing (deep dive analyses) for more market-sizing/strategy type work", Data Scientist,"Menlo Park, CA (US)",Current Employee ,M,7,4.0,1.0,"- Great benefits, especially if you have dependents.- Good autonomy to conduct your own analysis as a Data Scientist",4.0,4.0,5.0,5.0,5.0, 21 Jan 2018,"""Great benefits, but mileage may vary depending on team"""
399,,1.0,"Impostor syndrome is a real thing. Find your strengths and find them quickly. There are brilliant people all around you, so there is not much use in trying to be excellent everywhere.", Production Engineer,"South Seattle, WA (US)",Current Employee ,L,9,5.0,1.0,"For a new grad coming out of university, there is no better place than Facebook to jump start my career at.1. Great food , 3 times a day. This is the norm in big techies though, so nothing exceptional here.2. Awesome idea of bootcamp. All new people, regardless of the amount of experience, start in a 8 weeks-ish bootcamp. This is ideal for ramping up on the company wide infrastructure ( since almost …  all the sw in facebook is homegrown ). Also, you get to choose your team at job fairs. How cool !3. Transparent culture from top to bottom. I have not faced a single experience in my time here so far ( ~1 year ) , where I felt that the company was not taking care of me.4. Perks , perks everywhere ! Too many to listShow More",5.0,5.0,5.0,5.0,4.0, 27 Dec 2017,"""Great place to work at"""
400,,1.0,"Lots of new grads, so it sometimes feels like adult college. I jokingly call their awesome holiday party Facebook prom. Culture is endangered in new offices.", Account Manager SMB,"Austin, TX (US)",Current Employee ,M,1,5.0,1.0,"Best benefits, supportive environment, great and transparent pay, great internal mobility, in touch and compassion management, forward looking, and employee centric.",5.0,5.0,4.0,5.0,4.0, 22 Jan 2018,"""The best job I’ve had (and I’ve had a few)"""
401,not mentioned,1.0,Growing too quicklyTeams spread out too thin globallyLack of engineering offices in most locations, Project Manager,"Menlo Park, CA (US)",Current Employee ,L,2,5.0,1.0,Great work cultureLots of opportunitiesGood perksSome pretty smart peopleCompany Vision,5.0,4.0,5.0,5.0,5.0, 17 Jan 2018,"""Great Company"""
402,,1.0,"-As Facebook continues to grow, the role becomes exceedingly more marginalized. They depend less on creativity and more on sheer numbers and output.-The aggressive goals never let up. Don't expect to be genuinely thanked for your hard work.-Your personal development will take a back seat to what you can do for the team.-Transitioning to roles outside of recruiting is difficult and not particularly clear …  on how that can take place.Show More", Technical Recruiter,"Menlo Park, CA (US)",Current Employee ,M,4,4.0,1.0,-High paying company that values performance over tenure.-The best benefits and flexibility in the Bay Area.-Working with some of the brightest people in technology.,3.0,5.0,5.0,4.0,4.0, 26 Jan 2018,"""Technical Recruiting at One of the Premiere Companies in Silicon Valley"""
403,not mentioned,1.0,Can get busy sometimes, Analyst,Hyderabad (India),Former Employee ,M,0,5.0,1.0,"great work space, ""It's all about the quality of the work, the power of your conviction, and the ability to influence people.""",4.0,5.0,5.0,5.0,4.0, 22 Jan 2018,"""Great company to work for-they spoil you with all the good things"""
404,,1.0,"Being that we are growing at such a rapid pace, I often read over company info on “scale management” to make sure I’m up to date with how my company is growing.", Critical Facility Engineer,"Fort Worth, TX (US)",Current Employee ,L,3,5.0,1.0,"At the rate the company is expanding, you have ample opportunity for personal growth as well",5.0,5.0,5.0,5.0,5.0, 11 Jan 2018,"""Growth"""
405,,1.0,"The tl;dr is Facebook is a big company and its cons reflect that. The company mission and values are incredibly admirable, but have become increasingly difficult to implement as the company has grown.* You might find yourself working on a project with over a million lines of code, but nobody on your team has written more than 10,000. The need to sit down and figure it out yourself can be pretty stressful in …  an environment that is pushing you to ""make an impact"" and be constantly shipping new features.* The few senior engineers (in my org at least) show little interest in mentoring more junior engineers.* Sink or swim mentality among engineers, the mega-teams supporting products in the core app can be brutal and unwelcoming.* Launch decisions are very political - criteria for launching a change is opaque, and feedback from department leads happens far too late in the development process (often in the meeting where a launch decision is being made!). Little has been done to fix these issues despite it being constant feedback for the past year.* Performance reviews put too much emphasis on immediate personal output rather than collaboration and assisting other teams. This causes teams and individuals to focus inwardly. While it's never been malicious, I've seen this behavior directly harm other team's productivity or metrics.* Work/life balance is below average on the day-to-day, but oncalls are truly awful.* Decision-making has become a bit too distributed between orgs and reflects in the overall product.Show More", Software Engineer,"Menlo Park, CA (US)",Current Employee ,M,11,4.0,1.0,"* An amazing amount of resources (including a completely open & greppable codebase) for engineers to teach themselves just about anything* Really awesome internal tools* Unbelievable compensation & perks* The company trusts & believes in its employees* You become associated with the Facebook brand* Also a con, but you have a ton of freedom in what you work on",4.0,5.0,4.0,1.0,3.0, 2 Jan 2018,"""Great company, but a bit overhyped"""
406,,0.0,Founder unsure of the future of the company which makes the majority of the employees who want to stay at face book unsure of the future of the co. It appears that to co is trying some new concepts to hold on to current followers and grab that next group of new followers. Most of the followers are 40+ which is tough for Founder to grasp - but its a reality., Human Resources,"San Francisco, CA (US)",Current Employee ,M,17,1.0,0.0,"DJ in every building. Persona of ""great place to work"" so most of the employees do their best to keep a brave face. The atmosphere has a tentative feel to it where most are not sure what is around the corner. Stay Strong!",2.0,3.0,2.0,2.0,1.0, 9 Feb 2018,"""Not all its cracked up to be"""
407,,1.0,Work life balance can be challenging - there is always so much to do and it’s easy to forgot when you need to disconnect. You are expected to be self sufficient when you start and pick things up quickly. This can be challenging for some., Marketing Manager,"Menlo Park, CA (US)",Current Employee ,L,6,5.0,1.0,"Best company I’ve ever worked at. I’ve worked for start-ups and Fortune 500 and while Facebook is already established, things change so quickly here where you still feel the start-up culture. You also get to work with extremely smart, diverse and humble people which makes this place so unique.",5.0,5.0,5.0,5.0,4.0, 26 Dec 2017,"""Marketing"""
408,not mentioned,,Sometimes work life balance is crazyFast growth means navigating very complex environments with new hires who don’t know how things work yet. That can be frustrating but also rewarding, Sourcer,"Menlo Park, CA (US)",Current Employee ,not mentioned,1,4.0,,Crazy pace of GrowthOpportunities to learn and gain new skillsWorking on cutting edge tech with other smart peopleCulture - accepting and caring. Transparent and open.Perks- benefits are great and lots of learning tools and new technologies available,,,,,, 26 Jan 2018,"""Sourcer"""
409,not mentioned,,I was working as a freelance artist., 3D Modeler/Texturer,"Tehran, Tehran (Iran)",Former Employee ,M,0,3.0,,It is a very flexible company with new and creative ideas.,,,,,, 28 Jan 2018,"""3D artist, Modeler, texture artist"""
410,,1.0,Impostor syndrome is a real thing. Find your strengths and learn to be vulnerable. There are brilliant people all around you. The good news is they are all willing to help!, Operations Program Manager,"Menlo Park, CA (US)",Current Employee ,M,0,5.0,1.0,Truly supports employees being their authentic selves and leveraging their strengths.,5.0,5.0,5.0,5.0,4.0, 12 Jan 2018,"""Supportive, challenging, and growing!"""
411,not mentioned,1.0,I have no cons to list., Business Process Manager,"Menlo Park, CA (US)",Former Employee ,M,0,5.0,1.0,"Smart people, exciting work, fun working environment, amazing employee benefits",5.0,5.0,5.0,3.0,5.0, 11 Jan 2018,"""Great Place to Work"""
412,not mentioned,1.0,Some times you have to overemphasis your impact., Software Engineer,"Menlo Park, CA (US)",Former Employee ,M,1,5.0,1.0,1. Smart colleagues2. real impact3. Good engineer environement,5.0,5.0,5.0,5.0,5.0, 7 Jan 2018,"""Facebook is a milestone in my career"""
413,,1.0,"High pressure environment - you need to perform every week, work through holidays, christmass, new year, and weekends.", Software Engineer,"Seattle, WA (US)",Current Employee ,M,2,5.0,1.0,Everything is better than any other place I have worked,5.0,5.0,5.0,3.0,2.0, 3 Jan 2018,"""Great place"""
414,not mentioned,1.0,"I don't see any cons, at least for now.", Technical Sourcer,Tel Aviv-Yafo (Israel),Current Employee ,L,0,5.0,1.0,"The best Workplace ever! Mission-driven environment, smart and incredible people. Personal independence and shared goals. You can always find opportunities to grow and to challenge yourself.",5.0,5.0,5.0,5.0,5.0, 9 Jan 2018,"""Work place where you can impact the World"""
415,not mentioned,1.0,- Super intimidating working with such smart people (its also a pro!), Data Engineer,"Seattle, WA (US)",Current Employee ,L,2,5.0,1.0,- Great work culture- AMAZING perks,4.0,5.0,5.0,5.0,4.0, 2 Jan 2018,"""High impact learning"""
416,,0.0,"Facebook is like Bitcoin: people in it ask when you bought in because it's the easiest way to find out how powerful you are without being rude.I joined within the last year, along with about half of the company. The contrast in the level of success of people who joined N years ago vs N-2 years ago is logarithmic for all values of N. At its current rate, I don't think I can advise anyone to join now, and …  after I vest, I'm not sure I will stay.Part of this is that the starting comp isn't very good. The vesting stock is, but the cash is fairly mediocre (less than previous jobs I've had at far less profitable companies), and vesting accelerates over time. This nets to you being paid much more than before, year over year.The much greater share of it is that opportunities scaling in the same pyramid-growth path means that anyone thinking of joining today can't expect any of the same trajectory that available 2 years ago, and maybe even 1 year ago.Show More", Senior Product Manager,"Menlo Park, CA (US)",Current Employee ,M,23,3.0,1.0,"I had 5+ years of pre-FB experience in tech and other industries, including others consistently in Glassdoor Top 10. I don't regret joining FB:- I've learned an incredible amount about a new tech stack and product management for ads in only a few months. Not all my peers are brilliant about all things (which is good, as I'm certainly not) but every one of them is smarter than I am about at least one thing, …  and it takes very little time to find out what.- Data and logic rule here -- not always, not entirely, but enough. There is enough of a culture of rigor to metrics that we still have a North Star when in the weeds.- The perks are great. I have gotten broken glasses fixed by the dry cleaner for only a low tax rate. The food is shockingly good for the scale of the cafes, and I'm impressed every day by the whole MPK service operation.- Workplace is much better than emails as a site for debate/discussion about what to do. Also a con, because it generates a game of how-should-i-react-on-Workplace all its own, and in a more public record.Show More",2.0,5.0,4.0,3.0,3.0, 7 Dec 2017,"""You'll laugh, you'll cry, you'll drown, you'll wish you bought in 2012"""
417,not mentioned,1.0,Lots of pressure your beginning year., Senior Software Engineer,"San Jose, CA (US)",Former Employee ,M,1,5.0,1.0,PerksPayPeople you work withWork impacts billions,5.0,5.0,5.0,5.0,4.0, 2 Jan 2018,"""Facebook is a amazing company to work for!!!!"""
418,,1.0,the main challenge is to adapt yourself to work in a really big structure and knowing that is growing more and more. It tends to be difficult to reach the exact person that you are looking for at the right time., Partner Manager,Buenos Aires (Argentina),Current Employee ,L,0,5.0,1.0,"if you look back in history you will not find a moment of such changes as the one we are living right now. The digital phenomenon is still expanding rapidly, creating a world more open and connected. Right now, Facebook is the main company driving that mission, giving power to the people to create a more open and connected world. Being able to add value in a company that is consciously pushing that goal is really …  satisfying. you end each day knowing that you are doing your best for a good cause and that the journey is just getting started.Show More",5.0,5.0,5.0,5.0,5.0, 3 Jan 2018,"""A great place to work in a great moment of mankind history"""
419,not mentioned,0.0,"Lack of thoughtful and constructive communication, a young, millennium type environment that won't think outside of the box and ask the ""why"" questions.", Anonymous Employee,"Mountain View, CA (US)",Former Employee ,M,12,1.0,,"Free food, bikes to get from one building to another, great pay",2.0,5.0,1.0,2.0,1.0, 31 Jan 2018,"""HR"""
420,,1.0,"- If you land in the wrong team or are a victim of poor management, HR will not do anything about it, even if you have evidence. Firstly, they are severely understaffed (one HRBP per 200 managers?).- The feedback cycles are too political. This is one of the worst things about Facebook. It has 'imported' bad habits and bad people from other companies who brought their corporate baggage with them. It didn't used …  to be like this.- People work on projects based on their six-month feedback review, not what's good for a team or the company. The lack of accountability from upper management makes this much worse. People get promoted for 'inventing' things that get abandoned after a month.- If you are good at public relations but do nothing, you can get very far at Facebook. It means you have 'visibility'. It's poisonous.- It has become so cynical that the latest 'trick' to get someone promoted to director is for them to organise a 'global' gathering. In other words, bring a bunch of people to Menlo Park, say it's for team building and give it a funky name or a motto... and boom! They become a Very Senior Person.- Zero work/life balance. You must be available 24/7.Show More", Analyst,"Dublin, Co. Dublin (Ireland)",Current Employee ,M,18,3.0,1.0,"- Great company values. They have put a lot of thought behind them and it's very inspiring to see what the company stands for on paper.- They are quite transparent when it comes to product strategy, roadmaps, etc. It's great how much they make you feel part of the success of the company.- Excellent benefits and perks.- Sheryl Sandberg. A thousand times.",5.0,4.0,5.0,2.0,1.0, 10 Dec 2017,"""Great company values, but slowly losing its culture"""
421,not mentioned,1.0,There are no major cons from my point of view. If you like a challenging professional environment and work hard for something meaningful this is a good place to work at., Client Solutions Manager,"Dublin, Co. Dublin (Ireland)",Current Employee ,M,0,5.0,1.0,Incredibly great colleagues and opportunities driven by a clear mission and sustainable company values.,5.0,5.0,5.0,5.0,5.0, 27 Dec 2017,"""Work @ Facebook"""
422,,0.0,"Facebook is hugely committed to transparency and authentic identity. So if you value separating your personal life and work life, don't want to share your personal feelings with coworkers or hear about theirs (or offer emotional support), or don't like to share with other people in the broader company what you're working on, it may be a bad fit for you. Likewise, if you prefer to be directed by leadership rather …  than establishing your own direction autonomously, Facebook might be a bad fit for you. Finally, Facebook's primary Menlo Park campus is located in the middle of nowhere with very little else around - you eat and get all your services on campus, with the nearest downtown a 15 min drive away. If you prefer to be in an urban center, you should either consider a different location, or a different company.Show More", Software Engineer,"Menlo Park, CA (US)",Current Employee ,L,4,5.0,1.0,"I've been at Facebook for 6 months. I've never been one for loyalty to my job or my company, but at least in Social VR, my team are some of the most genuinely supportive and caring people I've ever met in my life and I really feel like they accept me and will be there for me both when I need things at work and when I'm having personal difficulties. I'm given full autonomy to pursue the things that I think are most …  important. My team is incredibly diverse (including transgender, black, Asian, Pacific Islander, Latino, and an unusually high percentage of women) which shows both an extraordinary commitment to diversity and gives me faith that the product will be built to serve diverse customers. And the backgrounds of the people on my team are shockingly elite, with many projects on their resumes that are immediately familiar to and admired by me. I'm also proud that Facebook has so many people at the very top who are strongly committed to VR - like Zuckerberg's ambitious announcement at OC4 that his goal is to have a billion people in VR.Show More",5.0,5.0,5.0,5.0,5.0, 13 Dec 2017,"""Warm supportive culture, embraces autonomy and diversity, full of elite talent"""
423,,1.0,"Work life balance is tough. Can have some busy weeks due to the ""move fast"" culture. Plus you have a lot of ownership which brings with it some stress.The offices are crowded due to how fast we are growing. They are building a few new huge buildings but until those finish things are quite cramped, and the work place can get loud.Also not enough space in the gyms because of the general overcrowding on …  campus.Show More", Software Engineer,"Menlo Park, CA (US)",Current Employee ,L,5,5.0,1.0,"From the start, Facebook has been amazing.Bootcamp was a great experience; not too many companies let a new grad spend 6-8 weeks searching for a good team fit. They let you pick a team, which essentially means you get to pick your tech stack (Backend; Front-end; Mobile; Infrastructure), the org you work for (Messenger, Facebook, Oculus, Instagram, etc.). More importantly, you get to pick your manager + team …  mates, where as in other large companies, it's the other way around; you are assigned to a product & org & manager whether you like it or not. This is way different compared to Google's opaque 'host matching' process and Microsoft where they just randomly place you in a division like Azure or Office.The company values really shine through every day. Before Facebook I thought the concept of company values was kind of corny and B.S. Now that I'm at FB I can at least say that here the company values are actually values held by top management + majority of the workforce and not just marketing / HR speak.Everyday I really feel like we are moving fast and shipping a lot of product very quickly. We A/B test lots of features, analyze the data, and swiftly decide what to ship to the public. I never feel stuck; I always feel like I'm either implementing an A/B test or analyzing data so we can ship more features. There are not long product cycles with lots of prognostication from product leadership; we build, measure, then learn. Thats it.I feel everyday that we have an open culture. At Facebook, we use Workplace, a tool thats kind of like Facebook but for corporations, made by you guessed it... Facebook. Within Workplace, just like normal FB, there are a ton of groups. I'm in a bunch of groups and basically get visibility on decision making + product updates + news from every part of our org. I feel like I'm in the loop and just learn so much about FB / product by reading my Workplace newsfeed. For example, today I read a research report about internet users in India, learned some stuff about dynamic ads, and saw one of the senior leaders announce a new partnership deal. All of that info isn't directly relevant to my day-to-day job, but because its all there and open to anyone, I learn so much and have so much clarity into FB's product vision & company objectives. Mark or Shreyl do Q & A's every Friday. Between hearing top leadership speak, and reading updates from every part of the company on Workplace, I feel that FB is a very open and transparent place to work.There are many other pros and cultural values that I like but let me get to a major pro to end this review. Food!Here's just a sample from today! I ate these 3 meals today at the company cafe 2 mins walk away from my desk.Breakfast:Soft Boiled Egg + Been + Cheese + Salsa Tostada. Organic Blueberries & Blackberries. Hemp & Pumpkin seeds.Lunch:Vegetarian Pho with Sous Vide Eggs, Tofu, Steamed Cabbage, Green Onions, Cilantro, & Bean Sprouts in it. Added Sriracha and Chili Oil to spicen it up.Thai Iced Tea Bobba (Bubble) Tea.Dinner (today was Jamaican themed):Sweet Potato & Corn Casserole, Collared Greens, Fried Plantains, & Quinoa.I also got a slice of cheese pizza :)Dessert: Mango Cheesecake made with Graham Cracker Crust.By the way, the menu rotates, and at the HQ, there are a ton of cafes to choose from so way more options for food are there.Show More",5.0,5.0,5.0,5.0,3.0, 5 Dec 2017,"""Best Large Tech Company Culture"""
424,,1.0,"Can be overwhelming, can be hard to decide what problems to go after", Marketing Specialist,"Dublin, Co. Dublin (Ireland)",Current Employee ,L,2,5.0,1.0,"Awesome people, open culture, high level of trust, very little BS or bureaucracy",5.0,5.0,5.0,5.0,5.0, 19 Dec 2017,"""What a company should be like"""
425,not mentioned,1.0,Remote offices need constant connection with Headquarters in California, Software Engineer,"New York, NY (US)",Current Employee ,M,1,5.0,1.0,Engineers gets to choose what to work onWork and learn from the best people in the fieldFair rating and bonus procees,5.0,5.0,5.0,5.0,4.0, 19 Dec 2017,"""Amazing place to work"""
426,,1.0,No processDifferent teams follow different development patterns, Software Engineer,"Menlo Park, CA (US)",Current Employee ,M,0,4.0,1.0,Independendence -> reducing thoughScaleImpact of workMove really fastSwitch teams,5.0,5.0,5.0,3.0,2.0, 3 Jan 2018,"""Software Engineer"""
427,,1.0,nothing is wrong here it is good, Software Engineer,"Boston, MA (US)",Former Employee ,L,0,5.0,1.0,Good people and nice area,5.0,5.0,5.0,5.0,5.0, 18 Dec 2017,"""Software Engineer"""
428,,1.0,"Super handson and super fast moving, stay young and smart", Client Partner,Singapore (Singapore),Current Employee ,M,1,5.0,1.0,"Creative and connective ,more interaction , more understanding with network",5.0,4.0,5.0,5.0,5.0, 13 Dec 2017,"""Client partner"""
429,not mentioned,1.0,I have yet to find any cons., Technical Sourcer,"Seattle, WA (US)",Current Employee ,L,3,5.0,1.0,"free food, almost unlimited flexibility, fully stocked snacks, every kind of coffee you can think of, amazing benefits, top 90% for pay. The list goes on and on",5.0,5.0,5.0,5.0,5.0, 7 Dec 2017,"""Technical Sourcer"""
430,not mentioned,1.0,"Forget about work/life balance. In fact, forget about work/sleep balance. Management does nothing to deal with the problem.Horrible working conditions. Wide and extremally noisy open spaces (impossible to concentrate), tiny desks, lines in restrooms, unavailable meeting rooms. I do most of my meaningful work from home. Management refuses to acknowledge the problem and praises facilities, so no chance of this …  being fixed.A strong political bias coming all the way from the top that pollutes working climate.Show More", Software Engineer,"Menlo Park, CA (US)",Current Employee ,M,10,3.0,1.0,"Lots of freedom - you are the master of your own career. You get full credit for your achievements (with a cost of taking full responsibility).Retains its ""move fast"" culture - you can get a lot of meaningful work done.Smart and proficient colleagues - you can learn a lot regardless of your level!Compensation is fair and sweet.",4.0,4.0,5.0,3.0,1.0, 6 Dec 2017,"""Excellent place to start. Meh place to stay."""
431,,1.0,"Limited conference/meeting rooms, number of reorgs/changes to business operations, large number of visitors/guests on campus", Business Analyst,"Menlo Park, CA (US)",Current Employee ,L,1,5.0,1.0,"Ability to drive impact from day one. Incredibly lean teams, great management exposure, people bring their authentic selves. Fantastic wellness benefits, amazing restaurants on campus, great shuttle service throughout the Bay.",5.0,5.0,5.0,5.0,4.0, 6 Dec 2017,"""Impact-Oriented Company"""
432,not mentioned,1.0,Impact it's a wide definition of how to work and sometimes focus can be really diverse making that different people and teams work in the same problem and they don't even know about the work that someone else did before., Analyst,"Dublin, Co. Dublin (Ireland)",Current Employee ,L,0,5.0,1.0,Facebook it's a great place to be if you are aiming to grow your professional career while meeting excellent people and professionals who are driven by passion and impact.Besides of an incredible amount of perks and benefits I found in Facebook a place where continuous learning and working on hard problems is part of your day to day job.As a Social Network company at its best you'll be able to …  interact with people from all over the worlds and work in a diverse set of challenges.Lot's of resources for learning and development while you work in making the world more open and connectedShow More,5.0,5.0,4.0,4.0,4.0, 10 Dec 2017,"""Amazing place to work and develop your professional career!"""
433,,1.0,No large cons that come to mind., IOS Recruiter,"Seattle, WA (US)",Current Employee ,M,1,5.0,1.0,"I've been at Facebook for about a year and a half and it is the first company i've worked for that's truly walked the walk in terms of standing by it's mission and values. The people that I work with care deeply about their users and about the company as a whole and Facebook cares deeply and invests in those employees as well. The problems are large scale and complex, but the people working to solve them are the …  best of the best. I come to work everyday and enjoy my job, I feel appreciated, secure in my role, and that I personally make an impact every day. It's a rare feeling.Perks are insane, benefits are humbling and the people I work with are smart, funny and dynamic. Can't recommend the company enough.Show More",5.0,5.0,5.0,5.0,5.0, 5 Dec 2017,"""Facebook"""
434,,1.0,need to take an initiative activity and mindset to drive other people and motivate subordinate staffs. self starter highly needed, Project Manager,"San Francisco, CA (US)",Current Employee ,M,0,5.0,1.0,Great opportunity to deliver strongly customer oriented service to market. huge number of talented and creative colleges to build an innovative solution,5.0,4.0,3.0,5.0,5.0, 9 Dec 2017,"""Project Manager"""
435,not mentioned,1.0,"Most offices are cold, don’t know why but it’s annoying to have to wear a jacket in the middle of the summer", Software Engineer,"New York, NY (US)",Current Employee ,M,0,5.0,1.0,"• Great culture• Very smart people around• Amazing teammates• Flexibility to choose teams/projects at the beginning and later very easy to switch if you like.• Great resources within the company to keep learning• Great perks (specially the food, it’s awesome and free)",5.0,5.0,5.0,5.0,5.0, 9 Dec 2017,"""Better than expected"""
436,,1.0,People do work harder than at some other tech companies. Commuting in the Bay isn't overly fun., Product Manager,"Menlo Park, CA (US)",Current Employee ,L,1,5.0,1.0,"Every day involves solving difficult problems with a bunch of very bright people. We're rewarded well for this, and everyone treats each other with mutual respect.",5.0,5.0,5.0,5.0,5.0, 5 Dec 2017,"""Challenging, interesting, and delicious free food"""
437,not mentioned,1.0,None everything is perfect and there's no cons, Executive Chef,Singapore (Singapore),Current Employee ,M,0,5.0,1.0,Everything is a dream and fantastic,5.0,5.0,5.0,5.0,5.0, 6 Dec 2017,"""Executive Chef"""
438,not mentioned,1.0,- Being the biggest in the world also means encountering problems which no one else have had to deal with- Lots of work. but fun!, Anonymous Employee,Singapore (Singapore),Current Employee ,M,0,5.0,1.0,- At the forefront of the industry- Smart and very capable colleagues- Ownership and trust from the leadership- Great perks for those with kids and families,5.0,5.0,5.0,5.0,3.0, 6 Dec 2017,"""Amazing place to work at."""
439,,1.0,"Imposter syndrome is real, but if you got an offer, you probably belong here too.", Manager,"Menlo Park, CA (US)",Current Employee ,M,0,5.0,1.0,- Incredible benefits- Excellent compensation that rewards strong performance- Lots of autonomy- Tons of room for growth- Very transparent from the top down- Strong leadership- Intelligent and caring colleagues- The most fair and well thought out review process you will find everywhere- Exciting work,5.0,5.0,5.0,5.0,5.0, 6 Dec 2017,"""Wonderful Company"""
